kind,scope,index,field,source,value
course,mucho-museo-del-chocolate,,title,MUCHO Museo del Chocolate,MUCHO Museo del Chocolate
course,mucho-museo-del-chocolate,,subtitle,"A walk through cacao's 3,500-year journey, from Olmec ritual to the bean-to-bar craft you can taste in Mexico City today.","A walk through cacao's 3,500-year journey, from Olmec ritual to the bean-to-bar craft you can taste in Mexico City today."
course,mucho-museo-del-chocolate,,description,"Cacao is older than chocolate. The Olmecs cultivated Theobroma cacao along the Gulf Coast more than three thousand years ago. The Maya drank it bitter and ceremonial; the Aztecs used the beans as currency. Spanish colonists took it home, added sugar, and turned it into a European luxury. Today, Mexican chocolatiers are reclaiming the full arc (from single-origin beans to finished bars), and MUCHO Museo del Chocolate is the place to stand inside that story.

This course is a place-based tour of the museum. You'll meet the plant, the people who domesticated it, the trade that moved it across an ocean, and the craft that's bringing it home.","Cacao is older than chocolate. The Olmecs cultivated Theobroma cacao along the Gulf Coast more than three thousand years ago. The Maya drank it bitter and ceremonial; the Aztecs used the beans as currency. Spanish colonists took it home, added sugar, and turned it into a European luxury. Today, Mexican chocolatiers are reclaiming the full arc (from single-origin beans to finished bars), and MUCHO Museo del Chocolate is the place to stand inside that story.

This course is a place-based tour of the museum. You'll meet the plant, the people who domesticated it, the trade that moved it across an ocean, and the craft that's bringing it home."
lesson,the-olmec-origin,,title,The Olmec origin,The Olmec origin
lesson,the-olmec-origin,,summary,"Where cacao domestication actually began, and what changed when humans started fermenting the beans.","Where cacao domestication actually began, and what changed when humans started fermenting the beans."
block,the-olmec-origin,0,markdown,"## Cacao is a forest tree

*Theobroma cacao* (""food of the gods"") evolved in the understory of Amazonian forests. It can't pollinate itself. It can't ripen without the shade of taller trees. And its seeds, bitter and astringent raw, don't taste like chocolate until humans do something specific to them.

## The first chocolate was a drink

Residue analysis of pottery from the Olmec heartland along the Gulf Coast of what is now Veracruz and Tabasco shows cacao consumption as early as **1500 BCE**. The Olmecs weren't eating bars. They were drinking a fermented, spiced, often savory beverage. That pattern (cacao-as-beverage) held for more than two thousand years.

## The step that matters: fermentation

Raw cacao seeds taste almost nothing like chocolate. What makes chocolate *chocolate* is a multi-day fermentation of the pulp-coated beans, followed by drying and roasting. The flavor compounds come from that process. Without it, no chocolate. Just a bitter tropical seed.

## Why this matters for the museum

MUCHO's first rooms trace this arc. The cacao on display isn't a symbol; it's the same genetic material that Olmec farmers were tending 3,500 years ago.","## Cacao is a forest tree

*Theobroma cacao* (""food of the gods"") evolved in the understory of Amazonian forests. It can't pollinate itself. It can't ripen without the shade of taller trees. And its seeds, bitter and astringent raw, don't taste like chocolate until humans do something specific to them.

## The first chocolate was a drink

Residue analysis of pottery from the Olmec heartland along the Gulf Coast of what is now Veracruz and Tabasco shows cacao consumption as early as **1500 BCE**. The Olmecs weren't eating bars. They were drinking a fermented, spiced, often savory beverage. That pattern (cacao-as-beverage) held for more than two thousand years.

## The step that matters: fermentation

Raw cacao seeds taste almost nothing like chocolate. What makes chocolate *chocolate* is a multi-day fermentation of the pulp-coated beans, followed by drying and roasting. The flavor compounds come from that process. Without it, no chocolate. Just a bitter tropical seed.

## Why this matters for the museum

MUCHO's first rooms trace this arc. The cacao on display isn't a symbol; it's the same genetic material that Olmec farmers were tending 3,500 years ago."
lesson,maya-and-aztec-ritual-and-currency,,title,Maya and Aztec: ritual and currency,Maya and Aztec: ritual and currency
lesson,maya-and-aztec-ritual-and-currency,,summary,"How cacao became a ceremonial drink, a unit of tribute, and (briefly) a spendable currency.","How cacao became a ceremonial drink, a unit of tribute, and (briefly) a spendable currency."
block,maya-and-aztec-ritual-and-currency,0,markdown,"## A drink, then a currency

By the time the Maya were building the great cities of the Classic period (roughly **250–900 CE**), cacao was central to religious and royal life. It showed up in marriage ceremonies, in offerings to ancestors, and on glyphs that explicitly labelled vessels as ""his cup for cacao.""

The Aztecs took this further. Under the Triple Alliance, cacao beans were **tribute goods**: flowing into Tenochtitlán from conquered cacao-producing regions along the southern coasts. You could pay with them. Period accounts record prices in the 16th century:

- **1 small rabbit** ≈ 30 cacao beans
- **1 turkey egg** ≈ 3 cacao beans
- **1 ripe avocado** ≈ 1 cacao bean

You could buy dinner with beans. You could also drink it.

## The recipe nobody expected

Aztec *cacahuatl* was cold, thick, and often bitter. Common additions: chile, achiote, vanilla, honey. No milk. No added sugar. The distinctive frothy top came from pouring the drink between two vessels to aerate it, a technique still used by Oaxacan chocolatiers today.

## The colonial pivot

When the Spanish arrived, cacao was already a strategic Mesoamerican commodity. They kept the trade, changed the recipe (heated, sweetened, milk eventually added in Europe), and carried it back across the Atlantic. By **1650**, chocolate houses had opened in Madrid, Paris, and London.

The museum's ceremonial-vessel room is worth slowing down in. The vessels themselves tell you more about cacao's social role than any text panel.","## A drink, then a currency

By the time the Maya were building the great cities of the Classic period (roughly **250–900 CE**), cacao was central to religious and royal life. It showed up in marriage ceremonies, in offerings to ancestors, and on glyphs that explicitly labelled vessels as ""his cup for cacao.""

The Aztecs took this further. Under the Triple Alliance, cacao beans were **tribute goods**: flowing into Tenochtitlán from conquered cacao-producing regions along the southern coasts. You could pay with them. Period accounts record prices in the 16th century:

- **1 small rabbit** ≈ 30 cacao beans
- **1 turkey egg** ≈ 3 cacao beans
- **1 ripe avocado** ≈ 1 cacao bean

You could buy dinner with beans. You could also drink it.

## The recipe nobody expected

Aztec *cacahuatl* was cold, thick, and often bitter. Common additions: chile, achiote, vanilla, honey. No milk. No added sugar. The distinctive frothy top came from pouring the drink between two vessels to aerate it, a technique still used by Oaxacan chocolatiers today.

## The colonial pivot

When the Spanish arrived, cacao was already a strategic Mesoamerican commodity. They kept the trade, changed the recipe (heated, sweetened, milk eventually added in Europe), and carried it back across the Atlantic. By **1650**, chocolate houses had opened in Madrid, Paris, and London.

The museum's ceremonial-vessel room is worth slowing down in. The vessels themselves tell you more about cacao's social role than any text panel."
lesson,bean-to-bar-in-mexico-today,,title,Bean-to-bar in Mexico today,Bean-to-bar in Mexico today
